GEO_ID,NAME,B08015_001E,B08015_002E,B08015_003E
id,Geographic Area Name,"Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Male","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Female"
0500000US20083,"Hodgeman County, Kansas",760,445,315
0500000US20085,"Jackson County, Kansas",5555,2830,2725
0500000US20087,"Jefferson County, Kansas",8015,4255,3760
0500000US20089,"Jewell County, Kansas",1180,620,555
0500000US20091,"Johnson County, Kansas",254960,133745,121215
0500000US20093,"Kearny County, Kansas",1615,950,665
0500000US20095,"Kingman County, Kansas",2930,1670,1260
0500000US20097,"Kiowa County, Kansas",890,490,395
0500000US20099,"Labette County, Kansas",8555,4330,4230
0500000US20101,"Lane County, Kansas",660,370,290
0500000US20103,"Leavenworth County, Kansas",28680,15095,13580
0500000US20105,"Lincoln County, Kansas",1385,720,665
0500000US20107,"Linn County, Kansas",3405,1915,1490
0500000US20109,"Logan County, Kansas",1150,655,495
0500000US20111,"Lyon County, Kansas",13825,7090,6735
0500000US20113,"McPherson County, Kansas",12270,6605,5665
0500000US20115,"Marion County, Kansas",4720,2520,2195
0500000US20117,"Marshall County, Kansas",4105,2125,1975
0500000US20119,"Meade County, Kansas",1745,975,770
0500000US20121,"Miami County, Kansas",13720,7200,6525
0500000US20123,"Mitchell County, Kansas",2860,1490,1370
0500000US20125,"Montgomery County, Kansas",13185,6885,6305
0500000US20127,"Morris County, Kansas",2550,1310,1245
0500000US20129,"Morton County, Kansas",1310,725,585
0500000US20131,"Nemaha County, Kansas",4130,2215,1915
0500000US20133,"Neosho County, Kansas",6360,3295,3065
0500000US20135,"Ness County, Kansas",1245,665,580
0500000US20137,"Norton County, Kansas",2245,1140,1105
0500000US20139,"Osage County, Kansas",6625,3435,3190
0500000US20141,"Osborne County, Kansas",1600,870,730
0500000US20143,"Ottawa County, Kansas",2430,1255,1175
0500000US20145,"Pawnee County, Kansas",2550,1280,1270
0500000US20147,"Phillips County, Kansas",2305,1150,1155
0500000US20149,"Pottawatomie County, Kansas",9045,4710,4335
0500000US20151,"Pratt County, Kansas",4095,2180,1915
0500000US20153,"Rawlins County, Kansas",895,440,455
0500000US20155,"Reno County, Kansas",25260,13180,12080
0500000US20157,"Republic County, Kansas",1960,1045,910
0500000US20159,"Rice County, Kansas",3840,2070,1770
0500000US20161,"Riley County, Kansas",28390,15610,12780
0500000US20163,"Rooks County, Kansas",2070,1090,980
0500000US20165,"Rush County, Kansas",1280,685,595
0500000US20167,"Russell County, Kansas",2795,1560,1235
0500000US20169,"Saline County, Kansas",24390,12980,11410
0500000US20171,"Scott County, Kansas",2140,1220,915
0500000US20173,"Sedgwick County, Kansas",209940,111825,98115
0500000US20175,"Seward County, Kansas",8155,4705,3450
0500000US20177,"Shawnee County, Kansas",74055,36615,37440
0500000US20179,"Sheridan County, Kansas",1040,590,455
0500000US20181,"Sherman County, Kansas",2360,1410,950
0500000US20183,"Smith County, Kansas",1535,775,760
0500000US20185,"Stafford County, Kansas",1685,850,835
0500000US20187,"Stanton County, Kansas",795,470,325
0500000US20189,"Stevens County, Kansas",2215,1260,955
0500000US20191,"Sumner County, Kansas",9435,5055,4380
0500000US20193,"Thomas County, Kansas",3460,1850,1615
0500000US20195,"Trego County, Kansas",1190,630,555
0500000US20197,"Wabaunsee County, Kansas",3070,1620,1450
0500000US20199,"Wallace County, Kansas",560,330,230
0500000US20201,"Washington County, Kansas",2255,1235,1020
0500000US20203,"Wichita County, Kansas",890,520,370
0500000US20205,"Wilson County, Kansas",3310,1765,1545
0500000US20207,"Woodson County, Kansas",1090,600,495
0500000US20209,"Wyandotte County, Kansas",57755,29705,28050
0500000US21001,"Adair County, Kentucky",5825,2995,2830
0500000US21003,"Allen County, Kentucky",6250,3230,3020
0500000US21005,"Anderson County, Kentucky",9285,4725,4560
0500000US21007,"Ballard County, Kentucky",2990,1630,1360
0500000US21009,"Barren County, Kentucky",15625,8060,7565
0500000US21011,"Bath County, Kentucky",3355,1710,1645
0500000US21013,"Bell County, Kentucky",7755,3880,3870
0500000US21015,"Boone County, Kentucky",52550,28235,24320
